"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnST]","HrKnSTAgr","HrKnSTAgr[other]","HrKnSTDis","HrKnSTDis[other]","HrKnSTHes","HrKnSTHes[other]","HrKnSTAgrOt","HrKnSTDisOt","HrKnSTHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48298","attTime","groupTime48297","SUCCESSTime","pause1Time","groupTime48301","KcTime","groupTime48304","HrKnSTAgrTime","HrKnSTDisTime","HrKnSTHesTime","HrKnSTAgrOtTime","HrKnSTDisOtTime","HrKnSTHesOtTime","groupTime48302","IntChairTime","groupTime48299","M3Time","M4Time","PROLIFICTime"
"18","2025-05-07 22:32:52","6","en","304115113","2025-05-07 22:31:14","2025-05-07 22:32:52","90.244.184.76","","A5","","","A6","AGA","","","","","","","","","A2","5","0","613c4625782929c725512b98","99.96","44.78","","4.33","","","21.18","","14.1","","","","","","","4.28","","11.29","","",""
"19","2025-05-07 22:35:34","6","en","577324958","2025-05-07 22:31:15","2025-05-07 22:35:34","172.56.209.26","","A5","","","A7","AGR","","","","","","","","","A2","3","0","6792f9facbb387400c5b6119","261.92","84.69","","7.48","","","98.07","","35.39","","","","","","","10.42","","25.87","","",""
"20","2025-05-07 22:34:08","6","en","1956457184","2025-05-07 22:31:16","2025-05-07 22:34:07","45.62.161.249","","A5","","","A6","AGA","","","","","","","","","A1","5","0","67df202b5c38e0528495d375","173.53","66.37","","8.9","","","41.94","","19.3","","","","","","","18.02","","19","","",""
"21","2025-05-07 22:33:23","6","en","27095076","2025-05-07 22:31:23","2025-05-07 22:33:23","67.185.99.63","","A5","","","A5","AGA","","","","","","","","","A1","5","1","62959d1553cc14e98f4b8d78","122.02","62.03","","2.53","","","6.51","","35.27","","","","","","","7.3","","8.38","","",""
"22","2025-05-07 22:36:56","6","en","695138718","2025-05-07 22:32:06","2025-05-07 22:36:56","193.36.163.108","","A5","","","A7","AGA","","","","","","","","","A2","6","1","67f04fb44e2417dac00edc8f","291.86","90.7","","9.01","","","74.97","","27.41","","","","","","","14.15","","75.62","","",""
"23","2025-05-07 22:34:33","6","en","1097128501","2025-05-07 22:32:20","2025-05-07 22:34:33","68.81.62.210","","A5","","","A1","","","-oth-","","","","","I made the assumption with that kind of mindset it was a do whatever the customers want but he likely had his doubts or genuinely did not care at all","","A2","3","1","66c1c5cb4b460dacc8290b9e","136.24","41.35","","4.87","","","23.13","","47.8","","","","","","","8.31","","10.78","","",""
"24","2025-05-07 22:33:34","6","en","682148174","2025-05-07 22:32:24","2025-05-07 22:33:34","209.212.21.173","","A5","","","A7","AGB","","","","","","","","","A2","5","1","664e2d4a26686cecdfd660eb","71.26","23.94","","4.08","","","18.71","","13.17","","","","","","","4.14","","7.22","","",""
"25","2025-05-07 22:34:13","6","en","75053113","2025-05-07 22:32:27","2025-05-07 22:34:13","184.98.60.62","https://app.prolific.com/","A5","","","A7","AGA","","","","","","","","","A2","3","1","5eed1bae9e63ac127ac15a77","108.58","35.66","","5.94","","","21.89","","23.76","","","","","","","8.79","","12.54","","",""
"26","2025-05-07 22:35:52","6","en","774719368","2025-05-07 22:32:59","2025-05-07 22:35:52","75.87.205.121","","A5","","","A7","AGA","","","","","","","","","A2","4","0","6429ffe11a9806a9a95ad072","174.04","20.17","","3.16","","","15.28","","27.35","","","","","","","13.94","","94.14","","",""
"27","2025-05-07 22:35:55","6","en","2111921582","2025-05-07 22:34:00","2025-05-07 22:35:55","104.183.171.50","","A5","","","A1","","","AGA","","","","","","","A2","4","1","677d99d7e6122bb726370792","118.4","42.1","","3.82","","","26.49","","14.66","","","","","","","6.87","","24.46","","",""
"28","2025-05-07 22:47:39","6","en","155913399","2025-05-07 22:44:22","2025-05-07 22:47:39","81.159.243.169","","A5","","","A7","AGB","","","","","","","","","A2","5","1","671139a20b977d78ec2ac1e0","199.13","47.41","","10.24","","","65.75","","37.52","","","","","","","22.29","","15.92","","",""
"29","2025-05-07 22:49:53","6","en","593691411","2025-05-07 22:45:18","2025-05-07 22:49:53","86.155.251.12","","A5","","","A7","AGA","","","","","","","","","A2","2","0","66f87d84fcfe786a13ff1edb","277.41","178.78","","6.36","","","30.09","","17.63","","","","","","","31.52","","13.03","","",""
"30","2025-05-07 22:52:05","6","en","1920128460","2025-05-07 22:46:14","2025-05-07 22:52:05","185.112.243.68","","A5","","","A2","","","AGR","","","","","","","A2","6","0","67dc85945e35d14d09fbd682","353.46","203.79","","6.95","","","40.94","","76.16","","","","","","","8.69","","16.93","","",""
"31","2025-05-07 22:51:24","6","en","2116511218","2025-05-07 22:47:11","2025-05-07 22:51:24","45.45.208.170","","A5","","","A5","AGA","","","","","","","","","A2","4","1","67df453b924dec242ee417f2","255.34","71.63","","5.7","","","37.01","","68.25","","","","","","","25.38","","47.37","","",""
"32","2025-05-07 22:49:12","6","en","1764421535","2025-05-07 22:47:41","2025-05-07 22:49:12","82.14.18.114","","A5","","","A5","AGA","","","","","","","","","A2","2","0","5dd05d80b2204f1487f7812c","92.59","26.94","","4.1","","","22.39","","20.33","","","","","","","4","","14.83","","",""
"33","2025-05-07 22:50:05","6","en","956011815","2025-05-07 22:48:14","2025-05-07 22:50:05","90.207.74.240","","A5","","","A3","","","AGR","","","","","","","A2","3","0","5c00043a6d931200019bcb9b","114.06","43.74","","5.68","","","18.91","","18.55","","","","","","","14.33","","12.85","","",""
"34","2025-05-07 22:56:59","6","en","1024517803","2025-05-07 22:48:46","2025-05-07 22:56:59","104.218.199.115","","A5","","","A6","AGA","","","","","","","","","A2","4","0","671fbc862b5c7b635c9980de","495.77","155.75","","11.05","","","89.96","","109.53","","","","","","","29.59","","99.89","","",""
"35","2025-05-07 22:51:52","6","en","1112732507","2025-05-07 22:49:04","2025-05-07 22:51:52","172.56.218.244","","A5","","","A6","AGA","","","","","","","","","A2","2","0","5f79bca83a2eb65c0983816d","170.62","67.99","","2.65","","","64.05","","12.84","","","","","","","7.66","","15.43","","",""
"36","2025-05-07 22:50:47","6","en","554370823","2025-05-07 22:49:07","2025-05-07 22:50:47","174.203.243.57","","A5","","","A1","","","-oth-","","","","","The CEO didn't care about the environment being helped.","","A2","2","0","6758dfba40a30c80e461d98f","102.6","20.6","","6.56","","","19.39","","36.93","","","","","","","6.72","","12.4","","",""
"37","2025-05-07 22:52:37","6","en","1182621751","2025-05-07 22:49:24","2025-05-07 22:52:37","104.251.81.9","","A5","","","A5","AGR","","","","","","","","","A1","4","0","663cd0ab9a13d177b358f8f1","196.1","66.71","","5.06","","","25.45","","48.45","","","","","","","24.77","","25.66","","",""
"38","2025-05-07 22:51:16","6","en","1463441123","2025-05-07 22:49:43","2025-05-07 22:51:16","97.184.112.148","https://app.prolific.com/","A5","","","A7","AGA","","","","","","","","","A2","6","0","630981b0f861918e8174a43e","95.88","48.79","","4.16","","","14.56","","12.72","","","","","","","5.08","","10.57","","",""
"39","2025-05-07 22:51:49","6","en","2028216346","2025-05-07 22:50:13","2025-05-07 22:51:49","173.92.133.79","https://app.prolific.com/","A5","","","A2","","","AGR","","","","","","","A2","4","0","6660993c21d954cc7c6dfa3a","98.06","34.62","","3.94","","","32.6","","11.08","","","","","","","4.21","","11.61","","",""
"40","2025-05-07 22:56:24","6","en","1216900956","2025-05-07 22:53:33","2025-05-07 22:56:24","94.103.184.197","","A5","","","A7","AGB","","","","","","","","","A1","4","1","67d9f5683d7f57c8732b6e63","172.77","49.67","","4.3","","","36.9","","23.62","","","","","","","12.91","","45.37","","",""
"41","2025-05-07 23:03:24","6","en","1534229639","2025-05-07 23:00:05","2025-05-07 23:03:24","86.109.84.35","","A5","","","A1","","","AGR","","","","","","","A2","4","0","67e7dac7c349cc02a86e6ded","201.77","66.66","","12.22","","","34.14","","34.87","","","","","","","17.73","","36.15","","",""
"42","2025-05-07 23:02:38","6","en","364551625","2025-05-07 23:00:34","2025-05-07 23:02:38","152.117.105.62","","A5","","","A7","AGR","","","","","","","","","A2","2","0","6685dba14d53fe6101047e9b","126.58","33.41","","3.32","","","54.54","","17.6","","","","","","","5.67","","12.04","","",""
"43","2025-05-07 23:03:45","6","en","443760793","2025-05-07 23:01:29","2025-05-07 23:03:45","96.237.144.80","","A5","","","A5","AGR","","","","","","","","","A2","4","0","6637aec5d6d06fd808983c9d","137.47","49.33","","10.07","","","32.15","","22.06","","","","","","","6.84","","17.02","","",""
"44","2025-05-07 23:09:31","6","en","1591463931","2025-05-07 23:05:08","2025-05-07 23:09:31","172.59.211.92","","A5","","","A7","AGR","","","","","","","","","A2","5","1","67e28b8e55a03e52547a2a9a","264.86","104.42","","13.06","","","50.33","","51.22","","","","","","","14.88","","30.95","","",""
"45","2025-05-07 23:09:06","6","en","1621129399","2025-05-07 23:05:53","2025-05-07 23:09:06","74.131.77.157","https://app.prolific.com/","A5","","","A2","","","AGB","","","","","","","A2","3","0","6781772babcc4f0fe3ebd378","195.17","98.29","","9.98","","","38.51","","24.43","","","","","","","7.39","","16.57","","",""
"46","2025-05-07 23:09:39","6","en","35443591","2025-05-07 23:05:54","2025-05-07 23:09:39","24.171.32.180","","A5","","","A7","AGA","","","","","","","","","A2","4","1","673dda5287206444a26549cb","228.05","76.73","","9.75","","","41.97","","60.33","","","","","","","17.63","","21.64","","",""
"47","2025-05-07 23:08:59","6","en","192621169","2025-05-07 23:06:02","2025-05-07 23:08:59","73.103.194.78","","A5","","","A3","","","AGB","","","","","","","A2","3","0","671d2da02389ecce30564698","177.6","62.02","","13.75","","","49.69","","28.38","","","","","","","8.91","","14.85","","",""
"48","2025-05-07 23:16:33","6","en","1035758122","2025-05-07 23:07:27","2025-05-07 23:16:33","76.121.128.78","","A5","","","A5","AGA","","","","","","","","","A2","4","0","60fd55f559e7795b518f7438","548.18","69.12","","4.51","","","60.52","","396.76","","","","","","","10.08","","7.19","","",""
"49","2025-05-07 23:09:39","6","en","493250643","2025-05-07 23:08:06","2025-05-07 23:09:39","75.135.192.76","","A5","","","A1","","","AGR","","","","","","","A2","4","0","63d6873b65a6170d64a652f6","95.1","41.79","","4.18","","","18.17","","15.71","","","","","","","6.01","","9.24","","",""
"50","2025-05-07 23:10:56","6","en","2057757573","2025-05-07 23:08:40","2025-05-07 23:10:56","97.134.229.141","https://app.prolific.com/","A5","","","A5","AGR","","","","","","","","","A2","2","0","5d41fdd8ca81250001493117","137.57","47.16","","4.99","","","12.67","","45.98","","","","","","","10.25","","16.52","","",""
"51","2025-05-07 23:17:00","6","en","1887724003","2025-05-07 23:13:51","2025-05-07 23:17:00","96.238.161.161","","A5","","","A5","AGR","","","","","","","","","A2","4","0","5c1c2c51e2d9150001b5737e","182.66","48.17","","7.69","","","60.46","","29.85","","","","","","","13.16","","23.33","","",""
"52","2025-05-07 23:20:18","6","en","242486767","2025-05-07 23:16:26","2025-05-07 23:20:18","139.171.33.219","","A5","","","A7","AGA","","","","","","","","","A2","6","1","67cb65e3e76f5440d744b7c9","235.31","87.73","","10.87","","","39.42","","22.46","","","","","","","10.45","","64.38","","",""
"53","2025-05-07 23:19:55","6","en","794536211","2025-05-07 23:16:52","2025-05-07 23:19:55","91.124.134.32","","A5","","","A7","AGR","","","","","","","","","A2","5","1","671974552520eaa83a7ce063","184.65","54.38","","8.04","","","21.11","","58.88","","","","","","","23.86","","18.38","","",""
"54","2025-05-07 23:22:04","6","en","1372568628","2025-05-07 23:16:57","2025-05-07 23:22:04","199.160.129.73","","A5","","","A7","-oth-","","","","","","The vice-president told the CEO directly that the program would help the environment. The CEO responded indifferently to that benefit but still approved the program. This implies that the CEO believed (or accepted as true) that the environmental benefit would occur, even if he didn't care about it.","","","A2","4","1","67ec14baa2c9ff576a10e860","310.23","39.68","","13.82","","","102.34","","95.76","","","","","","","25.98","","32.65","","",""
"55","2025-05-07 23:24:06","6","en","2092825756","2025-05-07 23:20:02","2025-05-07 23:24:06","23.182.129.55","","A5","","","A6","AGR","","","","","","","","","A1","5","0","67f2c7bdc962fa9cd9ab0311","246.16","67.5","","10.49","","","80.82","","26.93","","","","","","","30.78","","29.64","","",""
"56","2025-05-13 16:54:07","6","en","2110839896","2025-05-13 16:50:40","2025-05-13 16:54:07","92.22.233.120","","A5","","","A6","AGA","","","","","","","","","A2","4","0","559272f4fdf99b7e42e96932","208.99","60.2","","7.09","","","43.48","","59.09","","","","","","","8.6","","30.53","","",""
"57","2025-05-13 16:55:18","6","en","970984045","2025-05-13 16:51:32","2025-05-13 16:55:18","108.39.83.103","","A5","","","A1","","","-oth-","","","","","He didn’t care about the environment, and if it would be helped, he just worried about profits","","A2","3","0","67a85137a6f2eda1f128b8c0","339.96","142.15","","6.79","","","83.11","","30.48","","","","","","","6.97","","70.46","","",""
"58","2025-05-13 16:54:29","6","en","245037401","2025-05-13 16:52:33","2025-05-13 16:54:29","76.36.164.33","","A5","","","A7","-oth-","","","","","","The CEO knew but didn’t care. ","","","A2","2","0","56c3cf0511e0940006d43f99","117.51","33.54","","7.17","","","30.82","","29.12","","","","","","","5.5","","11.36","","",""
"59","2025-05-13 16:55:11","6","en","1812545170","2025-05-13 16:52:42","2025-05-13 16:55:11","50.113.86.226","","A5","","","A6","AGA","","","","","","","","","A2","5","1","666b68ba62cb93ed734157c1","152.2","40.85","","8.89","","","38.89","","26.76","","","","","","","15.02","","21.79","","",""
"60","2025-05-13 16:56:11","6","en","482711290","2025-05-13 16:54:15","2025-05-13 16:56:11","129.222.46.127","","A5","","","A7","AGA","","","","","","","","","A2","4","1","66d8790772c9e0e4ee96259c","117.74","31.33","","6.17","","","26.9","","28.72","","","","","","","8.56","","16.06","","",""
"61","2025-05-13 16:57:50","6","en","1927774186","2025-05-13 16:54:55","2025-05-13 16:57:50","217.180.43.75","","A5","","","A4","","","","","AGB","","","","","A2","4","1","67c1ca05922b398e5b520dbf","178.62","84.79","","10.81","","","28.35","","19.67","","","","","","","18.01","","16.99","","",""
"62","2025-05-13 16:56:45","6","en","507810094","2025-05-13 16:55:21","2025-05-13 16:56:45","68.36.127.126","","A5","","","A1","","","-oth-","","","","","He didn't care about helping the environment.","","A2","4","1","670160e896ff65768997d75f","86.78","17.6","","3.71","","","13.03","","32.41","","","","","","","7.57","","12.46","","",""
"63","2025-05-13 16:59:56","6","en","1305785563","2025-05-13 16:55:34","2025-05-13 16:59:56","92.61.109.142","","A5","","","A1","","","AGR","","","","","","","A2","4","1","67d47007556388f637dab7ef","264.26","78.14","","94.21","","","27.83","","14.82","","","","","","","34.64","","14.62","","",""
"64","2025-05-13 16:57:11","6","en","852926921","2025-05-13 16:56:05","2025-05-13 16:57:11","86.190.204.187","","A5","","","A7","AGA","","","","","","","","","A2","3","0","6658c1cb3bd695ac90a04553","68.23","21.73","","4.18","","","21.34","","10.18","","","","","","","3.28","","7.52","","",""
"65","2025-05-13 17:06:04","6","en","127435221","2025-05-13 17:02:26","2025-05-13 17:06:04","71.56.184.178","","A5","","","A6","AGA","","","","","","","","","A2","4","0","67f5477d160206a29900de2e","221.24","59.74","","5.11","","","58.72","","53.7","","","","","","","22.63","","21.34","","",""
"66","2025-05-13 17:06:03","6","en","2071559758","2025-05-13 17:03:00","2025-05-13 17:06:03","73.29.136.59","","A5","","","A7","AGA","","","","","","","","","A2","4","0","622a193e32f45a5c28d4875f","184.95","68.43","","11.56","","","43.19","","36.24","","","","","","","8.41","","17.12","","",""
"67","2025-05-13 17:04:18","6","en","1094357040","2025-05-13 17:03:04","2025-05-13 17:04:18","38.140.170.90","","A5","","","A6","AGA","","","","","","","","","A2","6","1","63e584009bf1aa55a39e1d53","76.1","25.22","","3.04","","","19.59","","11.9","","","","","","","4.09","","12.26","","",""
"68","2025-05-13 17:15:36","6","en","1161244744","2025-05-13 17:03:07","2025-05-13 17:15:36","47.188.175.99","","A5","","","A5","AGR","","","","","","","","","A2","4","1","66759eb2274a4f10deeba339","751.3","531.26","","2.87","","","169.96","","32.52","","","","","","","6.08","","8.61","","",""
"69","2025-05-13 17:05:51","6","en","1409745656","2025-05-13 17:03:51","2025-05-13 17:05:51","35.149.214.7","","A5","","","A4","","","","","AGA","","","","","A2","4","1","63e7f2a754618d35c2b61ba5","122.63","31.39","","7.38","","","35.06","","27.85","","","","","","","7.26","","13.69","","",""
"70","2025-05-13 17:07:02","6","en","1064171827","2025-05-13 17:04:55","2025-05-13 17:07:02","86.180.38.24","","A5","","","A7","AGA","","","","","","","","","A2","5","0","63469f35701f6b1eb1e76b1f","127.95","43.39","","4.87","","","30.96","","28.99","","","","","","","6.96","","12.78","","",""
"71","2025-05-13 17:08:36","6","en","1233559462","2025-05-13 17:05:37","2025-05-13 17:08:36","12.75.216.136","","A5","","","A7","AGB","","","","","","","","","A2","2","1","6628078ec9f3353ac0da6f0b","181.12","49.76","","3.71","","","95.02","","12.97","","","","","","","7.59","","12.07","","",""
"72","2025-05-13 17:10:04","6","en","1595194773","2025-05-13 17:08:17","2025-05-13 17:10:04","24.22.129.189","","A5","","","A4","","","","","AGR","","","","","A2","5","1","6772f1137e8b2c6b1790e0ae","109.98","35.87","","5.34","","","26.73","","19.81","","","","","","","8.41","","13.82","","",""
"73","2025-05-13 17:13:06","6","en","201947793","2025-05-13 17:11:24","2025-05-13 17:13:06","109.144.215.14","","A5","","","A2","","","-oth-","","","","","the eco did not care for the environment to be helped","","A2","4","1","6751467d0ef4bb17c804e4c0","104.21","19.47","","2.76","","","15.5","","43.09","","","","","","","15.03","","8.36","","",""
"74","2025-05-13 17:19:56","6","en","1265109797","2025-05-13 17:16:01","2025-05-13 17:19:56","98.144.110.158","","A5","","","A3","","","-oth-","","","","","The CEO had no interest in whether the environment would actually be helped or not, and didn’t inquire any further into how it might happen.","","A2","4","1","67ad400f3989d013fbbdc466","236.92","40.69","","16.36","","","44.62","","111.16","","","","","","","10.83","","13.26","","",""
"75","2025-05-13 17:18:51","6","en","192086108","2025-05-13 17:16:11","2025-05-13 17:18:51","86.18.114.8","","A5","","","A5","AGA","","","","","","","","","A2","3","0","56e68157f6ed90000ba5855c","161.65","35.29","","3.35","","","68.88","","34.5","","","","","","","10.5","","9.13","","",""
"76","2025-05-13 17:19:42","6","en","1593709641","2025-05-13 17:18:11","2025-05-13 17:19:42","160.72.88.66","","A5","","","A6","AGR","","","","","","","","","A2","5","0","63d7e5f60432d71a6670d0ba","93.85","35.33","","4.73","","","21.97","","15.84","","","","","","","5.99","","9.99","","",""
"77","2025-05-13 17:20:11","6","en","695937157","2025-05-13 17:18:11","2025-05-13 17:20:11","86.174.177.8","","A5","","","A7","AGA","","","","","","","","","A2","5","0","5ba94943d08ab20001c8437a","122.03","63.29","","3.71","","","16.13","","17.99","","","","","","","9.67","","11.24","","",""
"78","2025-05-13 17:21:22","6","en","948924831","2025-05-13 17:19:58","2025-05-13 17:21:22","141.195.162.143","","A5","","","A1","","","AGB","","","","","","","A2","2","0","59b5a275c05bb50001eb3c4b","86.18","26.1","","5.68","","","16.27","","15","","","","","","","7.8","","15.33","","",""
"79","2025-05-13 17:23:23","6","en","1784075895","2025-05-13 17:21:51","2025-05-13 17:23:23","151.230.29.113","","A5","","","A6","AGA","","","","","","","","","A2","4","0","546e8bc6fdf99b2bc7ebd029","94.1","35.37","","3.38","","","22.56","","14.44","","","","","","","4.29","","14.06","","",""
"80","2025-05-13 17:30:39","6","en","1530571958","2025-05-13 17:27:14","2025-05-13 17:30:39","45.45.208.110","","A5","","","A6","AGR","","","","","","","","","A2","4","0","67d904eb86974453d6e99638","206.84","72.28","","11.47","","","51.27","","34.17","","","","","","","14.03","","23.62","","",""
"81","2025-05-13 17:32:16","6","en","67850875","2025-05-13 17:27:16","2025-05-13 17:32:16","148.252.146.192","","A5","","","A1","","","AGB","","","","","","","A2","5","1","6654a8a5b80ff7608a7ad803","301.92","55.95","","13.04","","","95.87","","63.51","","","","","","","30.72","","42.83","","",""
"82","2025-05-13 17:28:58","6","en","1033610193","2025-05-13 17:27:45","2025-05-13 17:28:58","73.8.173.252","","A5","","","A7","AGA","","","","","","","","","A2","4","1","6598290cf1ec7a1ece008b99","75.17","24.09","","3.39","","","14.36","","13.78","","","","","","","5.13","","14.42","","",""
"83","2025-05-13 17:31:29","6","en","1676988711","2025-05-13 17:28:04","2025-05-13 17:31:29","174.101.100.249","","A5","","","A3","","","-oth-","","","","","the CEO knew the environment would be helped—he just didn’t care about that outcome.","","A2","2","0","62964d27c2b2866faa677493","207.19","56.32","","2.72","","","6.18","","83.31","","","","","","","40.13","","18.53","","",""
"84","2025-05-13 17:30:47","6","en","1836755665","2025-05-13 17:28:17","2025-05-13 17:30:47","162.83.132.229","","A5","","","A7","AGA","","","","","","","","","A2","4","0","5beb8419aec9ef0001e9d5fb","150.92","113.19","","5.2","","","8.46","","9.63","","","","","","","4.04","","10.4","","",""
"85","2025-05-13 17:31:36","6","en","1165756062","2025-05-13 17:28:40","2025-05-13 17:31:36","174.104.40.18","","A5","","","A7","AGA","","","","","","","","","A2","3","0","63daf5a89c63648ec34664fb","177.68","41.69","","4.27","","","40.99","","43.34","","","","","","","8.93","","38.46","","",""
"86","2025-05-13 17:31:00","6","en","329606934","2025-05-13 17:29:42","2025-05-13 17:31:00","67.85.213.200","","A5","","","A4","","","","","AGR","","","","","A2","4","0","62c5fbbb796500bb5406d772","80.15","22.35","","3.21","","","14","","23.31","","","","","","","5.42","","11.86","","",""
"87","2025-05-13 17:32:45","6","en","1256827697","2025-05-13 17:29:42","2025-05-13 17:32:45","195.180.35.70","","A5","","","A6","AGA","","","","","","","","","A2","2","0","65b40d86a6572ea6620e8c3d","184.01","41.92","","3.75","","","25.79","","23.05","","","","","","","7.18","","82.32","","",""
"88","2025-05-13 17:33:21","6","en","1452199681","2025-05-13 17:31:33","2025-05-13 17:33:21","82.132.216.97","","A5","","","A5","AGA","","","","","","","","","A2","5","0","676e8422294dd6823d5f77e3","109.77","31.52","","5.66","","","33.86","","18.58","","","","","","","5.89","","14.26","","",""
"89","2025-05-13 17:37:18","6","en","33500302","2025-05-13 17:35:00","2025-05-13 17:37:18","47.206.211.111","","A5","","","A7","-oth-","","","","","","The VP told him that the environment would be helped in addition to the company profiting.","","","A2","4","1","6172bc314504e7aea7fff4b5","140.32","28.31","","4.63","","","36.05","","53.73","","","","","","","8.32","","9.28","","",""
"90","2025-05-13 17:37:50","6","en","1603498690","2025-05-13 17:35:28","2025-05-13 17:37:50","174.240.240.60","","A5","","","A5","AGR","","","","","","","","","A2","3","0","666c8f4f6e483617ffb20ef4","144.35","48.38","","10.17","","","47.54","","18.45","","","","","","","8.57","","11.24","","",""
"91","2025-05-13 17:38:11","6","en","1351294554","2025-05-13 17:36:16","2025-05-13 17:38:11","176.27.44.169","","A5","","","A7","AGA","","","","","","","","","A2","3","0","5f2af36061a10a452cd8dc4e","117.27","38.83","","5.08","","","34.05","","18.39","","","","","","","11.26","","9.66","","",""
"92","2025-05-13 17:42:42","6","en","1839925195","2025-05-13 17:41:09","2025-05-13 17:42:42","86.12.212.131","","A5","","","A5","AGA","","","","","","","","","A2","2","1","669d63b71212137a95644a45","95.72","23.36","","4.88","","","29.62","","25.66","","","","","","","3.89","","8.31","","",""
"93","2025-05-13 17:43:53","6","en","237758928","2025-05-13 17:41:41","2025-05-13 17:43:53","81.187.237.189","","A5","","","A6","AGA","","","","","","","","","A2","2","0","5c5cad3e4ee81200018eafe2","133.83","44.36","","5.03","","","39.21","","18.67","","","","","","","11.48","","15.08","","",""
