"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnPR]","HrKnPRAgr","HrKnPRAgr[other]","HrKnPRDis","HrKnPRDis[other]","HrKnPRHes","HrKnPRHes[other]","HrKnPRAgrOt","HrKnPRDisOt","HrKnPRHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48290","attTime","groupTime48289","SUCCESSTime","pause1Time","groupTime48293","KcTime","groupTime48295","HrKnPRAgrTime","HrKnPRDisTime","HrKnPRHesTime","HrKnPRAgrOtTime","HrKnPRDisOtTime","HrKnPRHesOtTime","groupTime48294","IntChairTime","groupTime48291","M3Time","M4Time","PROLIFICTime"
"45","2025-05-07 23:03:54","6","en","763717004","2025-05-07 23:01:44","2025-05-07 23:03:54","173.243.241.25","","A5","","","A1","","","AGR","","","","","","","A2","3","0","593e6e9ea2bf080001ed3bba","131.84","36.87","","3.55","","","18.02","","55.12","","","","","","","7.06","","11.22","","",""
"46","2025-05-07 23:04:41","6","en","1314439004","2025-05-07 23:02:14","2025-05-07 23:04:41","75.224.10.146","","A5","","","A7","AGA","","","","","","","","","A2","3","0","65fb580ab7fbb2d518ee8eaa","149.56","55.22","","7.06","","","40.47","","25.51","","","","","","","7.83","","13.47","","",""
"47","2025-05-07 23:05:18","6","en","746625234","2025-05-07 23:02:32","2025-05-07 23:05:18","80.47.109.47","","A5","","","A7","AGA","","","","","","","","","A2","4","0","5a8185b8aa46dd00016b80d6","168.07","53.76","","6.79","","","62.86","","29.77","","","","","","","5.46","","9.43","","",""
"48","2025-05-07 23:04:22","6","en","383804230","2025-05-07 23:02:41","2025-05-07 23:04:22","86.10.219.27","","A5","","","A7","AGA","","","","","","","","","A2","3","0","60fcb280d58f26d33cb004a6","103.66","30.7","","4.57","","","32.35","","19.02","","","","","","","6.15","","10.87","","",""
"49","2025-05-07 23:05:04","6","en","514786841","2025-05-07 23:03:23","2025-05-07 23:05:04","92.113.40.180","","A5","","","A7","AGR","","","","","","","","","A2","6","1","67e5eab3dc572f7c0ad8b36f","102.5","19.37","","8.75","","","16.56","","24.18","","","","","","","16.08","","17.56","","",""
"50","2025-05-07 23:05:45","6","en","626256291","2025-05-07 23:03:26","2025-05-07 23:05:45","172.56.218.4","","A5","","","A3","","","AGA","","","","","","","A2","3","0","65ebbbc0a6328372037a40c1","140.73","48.28","","6.86","","","40.24","","27.04","","","","","","","6.96","","11.35","","",""
"51","2025-05-07 23:09:00","6","en","381929182","2025-05-07 23:03:32","2025-05-07 23:09:00","86.177.115.23","","A5","","","A4","","","","","-oth-","","","","i had no information on what the CEO knew","A2","5","0","5ea057b821f4e400081b71a7","328.31","105.98","","5.37","","","44.73","","133.65","","","","","","","18.27","","20.31","","",""
"52","2025-05-07 23:17:19","6","en","741338254","2025-05-07 23:14:23","2025-05-07 23:17:19","129.65.181.117","","A5","","","A6","AGR","","","","","","","","","A1","5","0","66fac66a574a89324f8980df","178.88","15.76","","2.9","","","132.98","","13.7","","","","","","","4.29","","9.25","","",""
"53","2025-05-07 23:19:46","6","en","243116174","2025-05-07 23:17:24","2025-05-07 23:19:46","154.7.225.253","","A5","","","A1","","","AGB","","","","","","","A2","6","0","6677328704eab5e142f81a4c","181.95","74.64","","9.71","","","25.76","","38.8","","","","","","","9.78","","23.26","","",""
"54","2025-05-07 23:21:17","6","en","1098034957","2025-05-07 23:19:24","2025-05-07 23:21:17","70.95.74.131","https://app.prolific.com/","A5","","","A7","AGA","","","","","","","","","A2","5","1","677af995d5aabfb59f938acf","116.29","33.93","","5.79","","","33.24","","20.69","","","","","","","10.73","","11.91","","",""
"55","2025-05-07 23:47:28","6","en","909024094","2025-05-07 23:45:48","2025-05-07 23:47:28","24.210.159.105","","A5","","","A7","AGR","","","","","","","","","A2","2","0","5798e5674a84da00014c652b","102.72","33.49","","2.85","","","25.32","","22.13","","","","","","","5.57","","13.36","","",""
"56","2025-05-13 16:51:35","6","en","1549663021","2025-05-13 16:50:42","2025-05-13 16:51:35","149.50.163.75","","A5","","","A1","","","AGR","","","","","","","A2","5","0","66cf40a29f72528d5f3c752e","54.35","17.43","","3.02","","","12.26","","7.13","","","","","","","4.45","","10.06","","",""
"57","2025-05-13 16:53:47","6","en","1574740872","2025-05-13 16:51:25","2025-05-13 16:53:47","24.27.100.230","","A5","","","A6","AGA","","","","","","","","","A2","4","0","56b43607c54e3c000d3c9b0b","144.15","22.58","","3.14","","","12.78","","16.36","","","","","","","4.54","","84.75","","",""
"58","2025-05-13 16:56:05","6","en","1470010804","2025-05-13 16:51:29","2025-05-13 16:56:05","73.43.155.52","","A5","","","A7","AGA","","","","","","","","","A2","4","0","5d75c56a52c89d0017df611c","277.92","121.27","","8.58","","","39.94","","55.03","","","","","","","22.5","","30.6","","",""
"59","2025-05-13 16:54:34","6","en","1442280528","2025-05-13 16:52:02","2025-05-13 16:54:34","146.90.11.94","","A5","","","A2","","","AGR","","","","","","","A2","2","0","63f7c60b1e096c2df51e3071","154.34","17.22","","3.26","","","55.34","","57.5","","","","","","","5.69","","15.33","","",""
"60","2025-05-13 16:57:41","6","en","310019926","2025-05-13 16:53:54","2025-05-13 16:57:41","130.255.67.238","","A5","","","A2","","","-oth-","","","","","I think he could have forgotten the part about the project helping the environment as soon as the Vice President walked out of the room, instead focusing on it making money.","","A2","5","0","67d5ecbae62eeba835cfe7d7","230.37","48.8","","10.79","","","36.92","","101.85","","","","","","","10.13","","21.88","","",""
"61","2025-05-13 16:55:24","6","en","1300275548","2025-05-13 16:54:00","2025-05-13 16:55:23","47.17.197.190","","A5","","","A4","","","","","AGA","","","","","A2","4","0","6329bd3e699f53922a5da47c","84.75","24.72","","4.36","","","25.41","","11.37","","","","","","","4.89","","14","","",""
"63","2025-05-13 16:55:38","6","en","334220632","2025-05-13 16:54:10","2025-05-13 16:55:38","138.43.106.35","","A5","","","A1","","","-oth-","","","","","he knew, he just didnt care","","A2","3","0","5dacff17847579001715f610","90.64","19.91","","3.37","","","21.72","","29.9","","","","","","","6.68","","9.06","","",""
"64","2025-05-13 16:59:36","6","en","1626442270","2025-05-13 16:54:14","2025-05-13 16:59:36","84.69.124.101","","A5","","","A5","AGA","","","","","","","","","A2","5","0","67c60d4d83aab66707607562","325.51","190.18","","19.93","","","30.68","","33.53","","","","","","","24.39","","26.8","","",""
"65","2025-05-13 16:58:12","6","en","1273880254","2025-05-13 16:55:46","2025-05-13 16:58:12","86.150.10.185","","A5","","","A2","","","AGR","","","","","","","A2","2","0","666afb4cabd9b9230b916811","147.13","46.09","","5.07","","","59.88","","17.5","","","","","","","9.45","","9.14","","",""
"66","2025-05-13 16:59:23","6","en","1767891908","2025-05-13 16:56:16","2025-05-13 16:59:23","68.14.143.125","","A5","","","A1","","","-oth-","","","","","He stated he does not care about the environment; profit only","","A2","4","1","669041884256730dc2ce4171","188.84","43.2","","5.75","","","25.97","","90.49","","","","","","","9.32","","14.11","","",""
"67","2025-05-13 16:57:45","6","en","1636771777","2025-05-13 16:56:32","2025-05-13 16:57:45","32.216.36.106","","A5","","","A2","","","AGB","","","","","","","A2","4","0","5ee3ebd469bfc40cd94f8f36","74.85","19.84","","5.11","","","14.97","","11.74","","","","","","","9.97","","13.22","","",""
"68","2025-05-13 16:58:45","6","en","1388419049","2025-05-13 16:56:34","2025-05-13 16:58:45","86.29.47.252","","A5","","","A7","AGA","","","","","","","","","A2","4","0","66c4a32221f616ebf48ab21d","132.61","41.6","","4.61","","","44.26","","31.07","","","","","","","3.17","","7.9","","",""
"69","2025-05-13 16:58:40","6","en","882837954","2025-05-13 16:57:00","2025-05-13 16:58:40","172.250.110.246","","A5","","","A7","AGB","","","","","","","","","A2","3","0","63fa2f029381a13d9f2a36a8","102.07","18.33","","4.19","","","29.81","","32.87","","","","","","","7.95","","8.92","","",""
"70","2025-05-13 17:04:37","6","en","864498850","2025-05-13 16:57:29","2025-05-13 17:04:37","100.14.125.91","","A2","if(att != 'A5', 1,0)","","A5","AGR","","","","","","","","","A1","2","0","66d6584b97d5a0cfa409a09b","430.31","85.98","","2.87","","","31.56","","159.73","","","","","","","38.05","","112.12","","",""
"71","2025-05-13 16:59:51","6","en","262895679","2025-05-13 16:57:33","2025-05-13 16:59:51","81.78.28.20","","A5","","","A4","","","","","AGB","","","","","A2","3","0","6790e3c6e06ac84c871c1691","139.79","58.84","","7.51","","","26.04","","27.7","","","","","","","8.07","","11.63","","",""
"72","2025-05-13 17:12:36","6","en","2072282280","2025-05-13 17:07:23","2025-05-13 17:12:36","96.245.0.212","","A5","","","A1","","","AGB","","","","","","","A2","4","0","5f16f559325a640008bb9a07","315.27","19.49","","2.64","","","90.36","","19.28","","","","","","","5.06","","178.44","","",""
"73","2025-05-13 17:09:28","6","en","2035311079","2025-05-13 17:07:29","2025-05-13 17:09:28","174.238.102.99","","A5","","","A5","AGA","","","","","","","","","A2","3","1","6362ab21cc450adf951bd6a7","121.4","25.3","","4.05","","","23.58","","50.64","","","","","","","6.92","","10.91","","",""
"74","2025-05-13 17:11:50","6","en","1501214523","2025-05-13 17:07:58","2025-05-13 17:11:50","176.46.140.115","","A5","","","A4","","","","","AGA","","","","","A2","4","0","679e81108eebf65d6f83c490","233.41","73","","12.55","","","51.09","","41.26","","","","","","","13.34","","42.17","","",""
"75","2025-05-13 17:15:34","6","en","677902490","2025-05-13 17:08:05","2025-05-13 17:15:34","73.137.162.136","","A5","","","A6","-oth-","","","","","","With info given, CEO only verbally was told by VP would be both $ and environment.  VP showed in words highly confident.  I would say a stronger word than faith but not a strong KNEW. Seems that CEO wouldn't care proof or not about environmental possibilities.  (minimal info provided above)","","","A2","2","1","60d5c66db6493439a72a6d25","423.47","62.68","","8.53","","","33.48","","281.39","","","","","","","12.58","","24.81","","",""
"76","2025-05-13 17:11:54","6","en","1779413063","2025-05-13 17:09:10","2025-05-13 17:11:54","213.31.147.229","https://app.prolific.com/","A5","","","A7","AGA","","","","","","","","","A2","4","0","637f7d10665738cfea163256","165.66","61.1","","6.95","","","41.64","","29.71","","","","","","","10.17","","16.09","","",""
"77","2025-05-13 17:12:57","6","en","1101654796","2025-05-13 17:11:46","2025-05-13 17:12:57","96.93.106.229","","A5","","","A7","AGA","","","","","","","","","A2","4","0","5fb156d6e16ee65ed2558d7c","72.84","20.01","","2.83","","","22.5","","13.04","","","","","","","5.22","","9.24","","",""
"78","2025-05-13 17:20:35","6","en","2021950593","2025-05-13 17:17:22","2025-05-13 17:20:35","77.47.159.84","","A5","","","A6","AGA","","","","","","","","","A2","4","0","67f139e0a8c12321ab2d0b02","193.71","56.6","","7.84","","","73.96","","32.15","","","","","","","10.12","","13.04","","",""
"79","2025-05-13 17:24:39","6","en","1849361684","2025-05-13 17:17:37","2025-05-13 17:24:39","149.18.55.100","","A5","","","A7","AGA","","","","","","","","","A2","6","1","67f05146dc313d0ce5ea7510","424.19","119.63","","8.16","","","211.85","","48.1","","","","","","","10.87","","25.58","","",""
"80","2025-05-13 17:19:21","6","en","72293897","2025-05-13 17:17:49","2025-05-13 17:19:21","82.10.186.82","","A5","","","A5","AGA","","","","","","","","","A1","5","0","68110949a2c450037f0304be","92.65","34.12","","2.12","","","22.91","","15.02","","","","","","","8.33","","10.15","","",""
"81","2025-05-13 17:22:31","6","en","1248587889","2025-05-13 17:19:37","2025-05-13 17:22:31","174.229.20.155","","A5","","","A6","AGA","","","","","","","","","A2","4","0","5ed6a80ac3b8620fd41f5fd6","177.82","29.63","","3.81","","","56.75","","67.41","","","","","","","4.27","","15.95","","",""
"82","2025-05-13 17:21:46","6","en","1736457014","2025-05-13 17:19:47","2025-05-13 17:21:46","31.94.14.52","","A5","","","A7","AGB","","","","","","","","","A2","2","0","67c05d920a5adc5953cc3de7","119.75","35.98","","5.95","","","34.23","","21.93","","","","","","","6.96","","14.7","","",""
"83","2025-05-13 17:23:34","6","en","395971659","2025-05-13 17:20:52","2025-05-13 17:23:34","140.177.93.36","","A5","","","A7","AGA","","","","","","","","","A2","3","0","67871258329b1d6941040ada","164.56","41.03","","8.66","","","33.43","","45.48","","","","","","","25.14","","10.82","","",""
"84","2025-05-13 17:27:05","6","en","1526016334","2025-05-13 17:23:05","2025-05-13 17:27:04","81.106.164.25","","A5","","","A7","AGB","","","","","","","","","A2","2","0","5dc0e5d927d0520845f47856","241.91","73.55","","7.2","","","32.17","","95.27","","","","","","","16.72","","17","","",""
"85","2025-05-13 17:27:30","6","en","1799141491","2025-05-13 17:23:43","2025-05-13 17:27:30","82.132.212.61","","A5","","","A1","","","AGB","","","","","","","A2","3","0","67d1757dde5c6b0a78a7715a","228.28","27.23","","46.54","","","30.7","","73.4","","","","","","","28.86","","21.55","","",""
"86","2025-05-13 17:27:07","6","en","560891756","2025-05-13 17:23:56","2025-05-13 17:27:07","168.235.147.9","","A5","","","A2","","","AGR","","","","","","","A2","5","0","67e888b9bca4f2c0db8a06fa","193.99","87.24","","8.7","","","37.82","","23.89","","","","","","","7.49","","28.85","","",""
"87","2025-05-13 17:26:43","6","en","903888300","2025-05-13 17:25:17","2025-05-13 17:26:43","90.196.43.183","","A5","","","A7","AGA","","","","","","","","","A2","3","0","67dbe2c38614c922a6a8dbe5","86.75","22.93","","4.82","","","22.9","","20.23","","","","","","","5.5","","10.37","","",""
"88","2025-05-13 17:28:45","6","en","839266138","2025-05-13 17:26:39","2025-05-13 17:28:45","162.249.30.169","","A5","","","A7","AGR","","","","","","","","","A2","2","0","66bd2f936ab3b23d4a8abbe3","126.76","79.6","","3.32","","","6.78","","20.5","","","","","","","9.13","","7.43","","",""
"89","2025-05-13 17:30:40","6","en","951624993","2025-05-13 17:27:10","2025-05-13 17:30:40","69.62.135.184","","A5","","","A5","AGB","","","","","","","","","A2","4","0","67a65fd458dd634e4d3fa6a9","212.13","53.44","","5.96","","","28.36","","66.63","","","","","","","26.24","","31.5","","",""
"90","2025-05-13 17:29:50","6","en","2096930637","2025-05-13 17:27:15","2025-05-13 17:29:50","75.184.21.199","","A5","","","A7","-oth-","","","","","","He was told that it would help the environment, he just didn't care. ","","","A2","3","0","667d637466a03a056e7b3427","157.73","32.52","","33.45","","","24.75","","45.66","","","","","","","8.55","","12.8","","",""
"91","2025-05-13 17:29:07","6","en","1821879522","2025-05-13 17:27:28","2025-05-13 17:29:07","131.95.212.205","","A5","","","A7","AGA","","","","","","","","","A2","5","0","66fcb4019a3324429051348c","101.66","29.63","","4.8","","","24.01","","27.37","","","","","","","4.89","","10.96","","",""
"92","2025-05-13 17:39:18","6","en","980380545","2025-05-13 17:36:40","2025-05-13 17:39:18","174.207.230.148","","A5","","","A6","AGA","","","","","","","","","A2","3","0","67d4ab2b6bcf2affcb4d66ec","159.18","43.26","","8.06","","","57.35","","30.1","","","","","","","5.53","","14.88","","",""
"93","2025-05-13 17:38:55","6","en","1242799769","2025-05-13 17:36:43","2025-05-13 17:38:55","81.78.177.193","","A5","","","A7","AGA","","","","","","","","","A2","2","0","63d79bf2271aa409e093e403","135.11","42.82","","3.97","","","31.53","","40.91","","","","","","","8.68","","7.2","","",""
"94","2025-05-13 17:41:02","6","en","1097865410","2025-05-13 17:37:38","2025-05-13 17:41:02","80.42.70.76","","A5","","","A5","-oth-","","","","","","I think the CEO knew as he was told,  he just didn't care that it would.","","","A2","3","0","66d045a6b838b2a1ff99653a","205.78","30.85","","22.07","","","88.84","","45.64","","","","","","","7.29","","11.09","","",""
"95","2025-05-13 17:39:31","6","en","1961430291","2025-05-13 17:38:18","2025-05-13 17:39:31","73.190.50.8","","A5","","","A7","AGA","","","","","","","","","A2","2","0","5685850c333cbd000d4e042f","74.49","21.14","","3.93","","","18.12","","17.05","","","","","","","5.64","","8.61","","",""
"96","2025-05-13 17:40:46","6","en","1810050019","2025-05-13 17:38:23","2025-05-13 17:40:46","72.109.0.110","","A5","","","A5","AGA","","","","","","","","","A2","3","0","62cbf51439a76e8fccd8a495","145.59","44.79","","7.42","","","38.83","","21.38","","","","","","","15.86","","17.31","","",""
