"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnAG]","HrKnAGAgr","HrKnAGAgr[other]","HrKnAGDis","HrKnAGDis[other]","HrKnAGHes","HrKnAGHes[other]","HrKnAGAgrOt","HrKnAGDisOt","HrKnAGHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48282","attTime","groupTime48281","SUCCESSTime","pause1Time","groupTime48285","KcTime","groupTime48284","HrKnAGAgrTime","HrKnAGDisTime","HrKnAGHesTime","HrKnAGAgrOtTime","HrKnAGDisOtTime","HrKnAGHesOtTime","groupTime48286","IntChairTime","groupTime48283","M3Time","M4Time","PROLIFICTime"
"22","2025-05-07 22:38:07","6","en","922253600","2025-05-07 22:34:56","2025-05-07 22:38:07","77.47.143.194","","A5","","","A5","AGA","","","","","","","","","A2","4","1","67dff174e3c6d53e63e3a6a8","191.15","82.11","","8.98","","","40.04","","26.95","","","","","","","8.95","","24.12","","",""
"23","2025-05-07 22:38:10","6","en","1944480862","2025-05-07 22:35:05","2025-05-07 22:38:10","223.29.144.219","","A5","","","A1","","","AGB","","","","","","","A2","4","0","67d3a5a498212eae9b9ce364","187.21","78.27","","8.86","","","37.41","","27.03","","","","","","","9.16","","26.48","","",""
"24","2025-05-07 22:40:12","6","en","351838622","2025-05-07 22:37:32","2025-05-07 22:40:12","67.181.132.212","","A5","","","A5","AGA","","","","","","","","","A2","4","1","677b129d7112f646f3fc7ed7","162.76","44.82","","9.5","","","46.97","","34.58","","","","","","","9.64","","17.25","","",""
"25","2025-05-07 22:39:00","6","en","236762580","2025-05-07 22:37:38","2025-05-07 22:39:00","131.93.67.24","","A5","","","A3","","","AGR","","","","","","","A2","4","0","6405feae7d6321bfaaf793e8","103.82","26.9","","2.6","","","40.24","","18.14","","","","","","","6.61","","9.33","","",""
"26","2025-05-07 22:41:21","6","en","304905322","2025-05-07 22:37:56","2025-05-07 22:41:21","151.249.72.253","","A5","","","A7","AGA","","","","","","","","","A2","2","0","63c80a427dfa1305502df5a8","206.92","67.03","","6.27","","","67.93","","29.49","","","","","","","17.76","","18.44","","",""
"27","2025-05-07 22:40:04","6","en","1894525662","2025-05-07 22:38:02","2025-05-07 22:40:04","81.79.69.124","","A5","","","A7","AGA","","","","","","","","","A2","2","0","5bc07659b8d38c0001de0516","124.32","35.32","","6.4","","","50.25","","14.45","","","","","","","6.99","","10.91","","",""
"28","2025-05-07 22:39:39","6","en","739832897","2025-05-07 22:38:13","2025-05-07 22:39:39","154.6.176.194","","A5","","","A1","","","AGB","","","","","","","A2","6","1","67f45e1b361e2b3ebc9e7ed7","88.58","25.4","","2.95","","","27.1","","11.93","","","","","","","7.78","","13.42","","",""
"29","2025-05-07 22:39:59","6","en","620764433","2025-05-07 22:38:18","2025-05-07 22:39:59","78.151.116.20","","A5","","","A1","","","AGR","","","","","","","A2","5","0","5c477c3b302d8a0001c52ee2","103.32","41.63","","4.59","","","18.02","","12.52","","","","","","","8.54","","18.02","","",""
"30","2025-05-07 22:41:45","6","en","361329145","2025-05-07 22:38:33","2025-05-07 22:41:45","89.43.143.129","","A5","","","A6","AGA","","","","","","","","","A2","6","1","67ab317d4245c4e2b33e2753","193.92","69.18","","6.72","","","19.86","","76.33","","","","","","","7.72","","14.11","","",""
"31","2025-05-07 22:43:31","6","en","539428496","2025-05-07 22:38:38","2025-05-07 22:43:31","172.56.43.140","","A5","","","A1","","","AGR","","","","","","","A2","6","0","678a9f5c3599b8ddc9c2aebe","292.12","109.99","","10.97","","","104.89","","25.41","","","","","","","9.83","","31.03","","",""
"32","2025-05-07 22:46:13","6","en","809925116","2025-05-07 22:39:52","2025-05-07 22:46:13","89.37.119.228","","A5","","","A3","","","AGA","","","","","","","A2","4","1","680d493dc14cd65450536c38","382.58","137.48","","19.35","","","136.14","","53.46","","","","","","","10.07","","26.08","","",""
"33","2025-05-07 23:00:52","6","en","1749492684","2025-05-07 22:50:37","2025-05-07 23:00:52","154.7.225.125","","A5","","","A1","","","AGR","","","","","","","A2","6","1","67f031e39c78264ea62bf22d","732.96","560.78","","26.74","","","43.6","","63.65","","","","","","","9.26","","28.93","","",""
"34","2025-05-07 22:59:21","6","en","661150841","2025-05-07 22:51:29","2025-05-07 22:59:21","216.9.239.22","","A5","","","A6","AGB","","","","","","","","","A1","4","1","6743528bc1bf31373949c647","473.66","89.31","","111.19","","","119.88","","121.15","","","","","","","13.75","","18.38","","",""
"35","2025-05-07 22:53:50","6","en","995298259","2025-05-07 22:52:00","2025-05-07 22:53:50","144.229.7.126","","A5","","","A1","","","AGR","","","","","","","A2","5","0","67f30214cb36ae0391baac33","113.34","59.57","","6.51","","","19.69","","10.86","","","","","","","5.28","","11.43","","",""
"36","2025-05-07 22:54:04","6","en","602173693","2025-05-07 22:52:54","2025-05-07 22:54:04","174.173.109.191","","A5","","","A2","","","AGR","","","","","","","A2","5","1","66293b5f114fcffc83b0a894","72.9","23.79","","3.8","","","17.73","","12.03","","","","","","","4.14","","11.41","","",""
"37","2025-05-07 22:57:42","6","en","989392045","2025-05-07 22:54:04","2025-05-07 22:57:42","74.69.224.201","","A5","","","A1","","","-oth-","","","","","He simply didn't care whether the environment was affected or not.","","A2","1","0","674d74930bb10f46df1ca2db","219.64","51.88","","8.11","","","90.24","","43.95","","","","","","","11.43","","14.03","","",""
"38","2025-05-07 22:58:42","6","en","687371481","2025-05-07 22:54:44","2025-05-07 22:58:42","89.46.180.201","","A5","","","A5","AGB","","","","","","","","","A1","4","0","67f1650f9ce37887f3f7d90e","240.71","138.8","","9.73","","","41.4","","29.04","","","","","","","10.33","","11.41","","",""
"39","2025-05-07 23:00:52","6","en","376837725","2025-05-07 22:55:22","2025-05-07 23:00:52","223.29.129.26","","A5","","","A6","AGB","","","","","","","","","A2","4","0","673f3cd975d4eab135cdad88","331.52","133.11","","8.47","","","55.71","","84.89","","","","","","","20.2","","29.14","","",""
"40","2025-05-07 23:00:49","6","en","2023293112","2025-05-07 22:56:27","2025-05-07 23:00:49","67.61.246.224","","A3","if(att != 'A5', 1,0)","","A1","","","AGB","","","","","","","A2","6","1","673e7e6f2cbf961c153d11e3","263.6","112.42","","16.26","","","51.16","","59.16","","","","","","","8.08","","16.52","","",""
"41","2025-05-07 22:59:24","6","en","194742367","2025-05-07 22:56:46","2025-05-07 22:59:24","86.109.83.184","","A5","","","A5","AGA","","","","","","","","","A2","5","1","67f59c77f837ba443d96bc47","159.36","41.26","","9","","","48.09","","21.97","","","","","","","13.28","","25.76","","",""
"42","2025-05-07 22:58:19","6","en","1295685158","2025-05-07 22:56:50","2025-05-07 22:58:19","73.213.136.52","","A5","","","A5","AGA","","","","","","","","","A2","4","0","603d6ae665fbaacb5621ede2","91.51","18.06","","1.49","","","2.63","","3.69","","","","","","","39.45","","26.19","","",""
"43","2025-05-07 23:00:53","6","en","1255356300","2025-05-07 22:57:04","2025-05-07 23:00:53","168.235.144.87","","A5","","","A6","AGA","","","","","","","","","A2","4","0","67f2b914d702155cbc0a3a2c","232.14","28.65","","6.65","","","55.26","","30.73","","","","","","","56.36","","54.49","","",""
"44","2025-05-07 23:00:38","6","en","308406831","2025-05-07 22:57:11","2025-05-07 23:00:38","89.46.180.40","","A5","","","A1","","","AGR","","","","","","","A2","5","0","67dc8045ad967bc9599351ab","209.41","49.88","","6.33","","","62.2","","73.04","","","","","","","5.81","","12.15","","",""
"45","2025-05-07 23:01:39","6","en","489809339","2025-05-07 22:58:19","2025-05-07 23:01:39","86.109.82.93","","A5","","","A6","AGR","","","","","","","","","A2","6","1","67ede515b090269e0fa4d482","202.86","45.63","","15.59","","","59.54","","27.98","","","","","","","34.31","","19.81","","",""
"46","2025-05-07 23:03:13","6","en","1984501644","2025-05-07 22:59:07","2025-05-07 23:03:13","104.182.73.53","","A5","","","A5","AGR","","","","","","","","","A2","4","0","657dd22938e31904b66ca3b4","249.12","83.55","","4.45","","","33.42","","14.94","","","","","","","61.77","","50.99","","",""
"47","2025-05-07 23:13:10","6","en","1207467471","2025-05-07 23:09:33","2025-05-07 23:13:10","73.41.168.90","","A5","","","A7","AGA","","","","","","","","","A2","4","1","599da50e17c03c000151b18b","219.56","74.75","","8.77","","","36.33","","46.37","","","","","","","30.06","","23.28","","",""
"48","2025-05-07 23:13:12","6","en","1362605450","2025-05-07 23:09:55","2025-05-07 23:13:12","92.41.128.32","","A5","","","A1","","","AGB","","","","","","","A2","4","1","63039f41fa5c21d483996be2","200.21","90.01","","6.89","","","36.85","","31.87","","","","","","","20.74","","13.85","","",""
"49","2025-05-07 23:12:08","6","en","364181276","2025-05-07 23:10:17","2025-05-07 23:12:08","149.87.194.242","https://app.prolific.com/","A5","","","A7","AGR","","","","","","","","","A2","4","0","5f16fde210d37701904c9dc2","112.92","44.33","","4.95","","","24.87","","21.21","","","","","","","7.7","","9.86","","",""
"50","2025-05-07 23:15:00","6","en","785343937","2025-05-07 23:10:21","2025-05-07 23:15:00","161.8.169.228","","A5","","","A6","AGR","","","","","","","","","A2","5","0","67e88a9ebe5802df7311bee8","280.71","75.14","","5.3","","","95.79","","53.6","","","","","","","31.24","","19.64","","",""
"51","2025-05-07 23:19:52","6","en","595730166","2025-05-07 23:11:33","2025-05-07 23:19:52","89.37.119.56","","A5","","","A1","","","AGR","","","","","","","A2","6","0","67d8766b5a2500a0b13597d9","502.45","155.36","","20.5","","","119.64","","137.51","","","","","","","19.72","","49.72","","",""
"52","2025-05-07 23:13:08","6","en","1198739514","2025-05-07 23:11:43","2025-05-07 23:13:08","50.48.155.209","https://app.prolific.com/","A5","","","A1","","","AGB","","","","","","","A2","3","0","67e03de86567af68e15f8b33","86.49","27.21","","6.15","","","20.4","","16.55","","","","","","","5.86","","10.32","","",""
"53","2025-05-07 23:15:42","6","en","1475802121","2025-05-07 23:12:11","2025-05-07 23:15:42","108.83.166.60","","A5","","","A6","AGR","","","","","","","","","A2","4","0","6514d739f7568fe6b2ebbe35","214.01","108.54","","4.39","","","60.24","","24.47","","","","","","","5.81","","10.56","","",""
"54","2025-05-07 23:35:10","6","en","907774486","2025-05-07 23:12:33","2025-05-07 23:35:10","75.153.78.24","","A1","if(att != 'A5', 1,0)","","A5","AGB","","","","","","","","","A1","4","1","67dbbf1d1b7344b1598756e0","1359.78","786.62","","7.22","","","207.51","","334.38","","","","","","","6.24","","17.81","","",""
"55","2025-05-07 23:15:35","6","en","1417318883","2025-05-07 23:12:47","2025-05-07 23:15:35","91.124.134.180","","A5","","","A5","AGA","","","","","","","","","A2","4","0","67e2eb9a7f9a361a99d8e894","170.75","72.07","","7.77","","","44.98","","14.9","","","","","","","16.87","","14.16","","",""
"56","2025-05-07 23:18:07","6","en","1419917932","2025-05-07 23:13:05","2025-05-07 23:18:07","75.153.77.64","","A5","","","A6","AGA","","","","","","","","","A2","4","1","676e2ff1efc59fd607203ba7","303.26","80.52","","5.15","","","36.03","","93.29","","","","","","","36.16","","52.11","","",""
"57","2025-05-07 23:14:20","6","en","1159108580","2025-05-07 23:13:27","2025-05-07 23:14:20","98.242.162.93","","A5","","","A6","AGA","","","","","","","","","A2","3","1","645906dc264ac9eb66b7f3ec","56.07","19.13","","2.47","","","12.58","","7.49","","","","","","","5.68","","8.72","","",""
"58","2025-05-07 23:14:35","6","en","190695591","2025-05-07 23:13:27","2025-05-07 23:14:35","172.14.118.218","https://app.prolific.com/","A5","","","A6","AGA","","","","","","","","","A2","4","0","616c056b42e788ef31efc4b0","71.04","18.66","","4.58","","","19.69","","11.98","","","","","","","6.74","","9.39","","",""
"59","2025-05-07 23:16:57","6","en","1357616605","2025-05-07 23:14:21","2025-05-07 23:16:57","172.58.53.105","","A5","","","A1","","","-oth-","","","","","The CEO stated he did not care about helping the environment.","","A2","3","0","66661b1242b581f199e49f4c","156.55","35.2","","3.28","","","28.17","","50.37","","","","","","","5.46","","34.07","","",""
"60","2025-05-07 23:18:14","6","en","857812800","2025-05-07 23:14:43","2025-05-07 23:18:14","47.146.2.169","","A5","","","A7","-oth-","","","","","","He was told that the new program would also help the environment","","","A2","4","1","678f0bb28ec3307e4f1afb78","211.22","50.96","","7.17","","","71.96","","57.99","","","","","","","5.57","","17.57","","",""
"61","2025-05-13 16:58:41","6","en","2139222472","2025-05-13 16:56:28","2025-05-13 16:58:41","81.151.135.20","","A5","","","A6","-oth-","","","","","","He was told that the environment would likely be helped in the process, but he was apathetic towards it and disregarded it. He didn't even consider it.","","","A2","4","0","6744d143eddffd17d345b192","135.26","42.74","","5.04","","","19.55","","56.26","","","","","","","5.06","","6.61","","",""
"62","2025-05-13 17:02:48","6","en","1141062315","2025-05-13 16:58:20","2025-05-13 17:02:48","92.238.36.154","","A5","","","A3","","","-oth-","","","","","Other"" — because the CEO knew the program would help the environment (he was told so), but didn’t care and wasn’t motivated by that knowledge.","","A2","4","1","67c83488e67b25dcb923d96d","268.8","38.18","","9.17","","","45.72","","121.45","","","","","","","30.21","","24.07","","",""
"63","2025-05-13 17:01:06","6","en","1104368301","2025-05-13 16:58:35","2025-05-13 17:01:06","131.251.32.182","","A5","","","A1","","","AGR","","","","","","","A2","3","1","66c9f7305f8a64d04cb5344c","153.87","25.74","","2.64","","","45.2","","66.93","","","","","","","3.52","","9.84","","",""
"64","2025-05-13 17:01:32","6","en","849358781","2025-05-13 16:58:54","2025-05-13 17:01:32","172.127.138.227","","A5","","","A2","","","-oth-","","","","","Even though he was told it would help the environment, he didn’t care about that & only registered that it would make him profit. So he technically knew, I guess, but I don’t think he gave it a second thought at all ","","A2","4","0","60fd8d3daa8dc32723731c4b","161.39","33.02","","5.91","","","27.97","","74.88","","","","","","","5.74","","13.87","","",""
"65","2025-05-13 17:03:55","6","en","564305005","2025-05-13 17:01:43","2025-05-13 17:03:54","185.145.52.234","","A5","","","A1","","","AGR","","","","","","","A2","4","1","67e9e090c54ce895c5ced1a1","131.88","58.3","","7.08","","","31.21","","17.16","","","","","","","6.13","","12","","",""
"66","2025-05-13 17:06:33","6","en","760953546","2025-05-13 17:03:25","2025-05-13 17:06:33","75.177.199.209","","A5","","","A1","","","AGB","","","","","","","A2","4","0","60d9e7e76cf2ab6d21eb5f99","191.35","83.74","","9.79","","","30.56","","15.84","","","","","","","15.19","","36.23","","",""
"67","2025-05-13 17:07:44","6","en","63015766","2025-05-13 17:04:52","2025-05-13 17:07:44","88.209.232.89","","A5","","","A5","AGA","","","","","","","","","A2","6","0","6819193c2ad22b10180cc87e","174.97","52.18","","7.89","","","49.25","","23.9","","","","","","","15.24","","26.51","","",""
"68","2025-05-13 17:07:00","6","en","1278057899","2025-05-13 17:04:58","2025-05-13 17:07:00","73.127.213.224","https://app.prolific.com/","A5","","","A2","","","-oth-","","","","","The CEO didn't care about the environment.  He only cared about profit.","","A2","5","1","667f4eb6c32c389a9edb9747","124.56","27.96","","4.81","","","27.65","","40.29","","","","","","","11.14","","12.71","","",""
"69","2025-05-13 17:09:11","6","en","2146518375","2025-05-13 17:05:26","2025-05-13 17:09:11","185.124.58.23","","A5","","","A1","","","AGB","","","","","","","A2","5","1","67eb0f1c8e1ef0ebf3006adc","225.96","69.6","","14.09","","","45.87","","52.04","","","","","","","9.69","","34.67","","",""
"70","2025-05-13 17:13:06","6","en","557097334","2025-05-13 17:06:27","2025-05-13 17:13:06","73.111.97.180","","A5","","","A3","","","-oth-","","","","","It was a new program supposition. There were no guarantees disclosed that either the environment absolutely would be helped or the profits would absolutely be increased. The CEO had to take a calculated risk","","A2","5","0","67bca2520a799ae9507bc053","400.99","54.24","","4.63","","","81.27","","225.02","","","","","","","18.65","","17.18","","",""
"71","2025-05-13 17:09:53","6","en","940224238","2025-05-13 17:07:01","2025-05-13 17:09:53","86.25.248.12","","A5","","","A7","AGR","","","","","","","","","A2","2","0","63c5869714c648472e253347","174.17","28.97","","5.32","","","109.71","","13.67","","","","","","","5.21","","11.29","","",""
"72","2025-05-13 17:10:51","6","en","1772005117","2025-05-13 17:09:49","2025-05-13 17:10:51","82.132.218.84","","A5","","","A3","","","AGA","","","","","","","A2","4","0","63af557b3d4f219c3226b7d6","64.37","22.31","","4.57","","","16.49","","8.98","","","","","","","3.3","","8.72","","",""
"73","2025-05-13 17:18:20","6","en","392535528","2025-05-13 17:11:12","2025-05-13 17:18:20","188.30.79.176","","A5","","","A2","","","AGB","","","","","","","A2","4","0","677a797fcca3e291b75022f5","428.67","259.21","","20.72","","","51.8","","74.43","","","","","","","9.1","","13.41","","",""
"74","2025-05-13 17:17:37","6","en","994504752","2025-05-13 17:12:34","2025-05-13 17:17:37","47.210.14.53","","A5","","","A5","AGR","","","","","","","","","A2","2","0","67886036d898e36d12084892","305.37","112.37","","3.97","","","108.61","","53.43","","","","","","","12.24","","14.75","","",""
"75","2025-05-13 17:16:21","6","en","2075911608","2025-05-13 17:15:07","2025-05-13 17:16:21","31.50.194.72","","A5","","","A7","AGA","","","","","","","","","A2","5","0","673321669f5c5d443040682b","75.64","24.99","","4.46","","","14.29","","16.33","","","","","","","4.24","","11.33","","",""
"76","2025-05-13 17:19:14","6","en","2047367972","2025-05-13 17:16:26","2025-05-13 17:19:14","89.42.81.143","","A5","","","A1","","","AGA","","","","","","","A2","5","0","67d3695629e35e34aff57336","168.03","49.94","","26.03","","","39.81","","30.23","","","","","","","7.96","","14.06","","",""
"77","2025-05-13 17:20:06","6","en","669839597","2025-05-13 17:16:47","2025-05-13 17:20:06","71.204.80.235","","A5","","","A6","AGA","","","","","","","","","A2","3","0","67e2f87c6e3741dd0aeb1cb1","200.6","71.87","","8.01","","","56.23","","33.35","","","","","","","13.36","","17.78","","",""
"78","2025-05-13 17:19:04","6","en","1499356195","2025-05-13 17:17:01","2025-05-13 17:19:04","66.181.118.151","","A5","","","A6","AGR","","","","","","","","","A2","4","0","5b2fef03530770000105a8b2","125.28","35.87","","8.58","","","35.99","","18.64","","","","","","","7.34","","18.86","","",""
"79","2025-05-13 17:22:07","6","en","690392455","2025-05-13 17:20:01","2025-05-13 17:22:07","107.180.172.143","","A5","","","A2","","","AGR","","","","","","","A2","5","1","67df2e46e9490330c7b8b9f6","128.67","52.79","","8.79","","","27.79","","16.59","","","","","","","6.66","","16.05","","",""
"80","2025-05-13 17:31:55","6","en","1032414587","2025-05-13 17:27:23","2025-05-13 17:31:55","2.221.252.84","","A5","","","A6","AGB","","","","","","","","","A2","4","0","67dc687bd93f2802388b5117 ","275.07","61.49","","7.54","","","70.44","","86.63","","","","","","","14.23","","34.74","","",""
"81","2025-05-13 17:28:32","6","en","1273611246","2025-05-13 17:27:27","2025-05-13 17:28:32","68.9.243.219","","A5","","","A6","AGR","","","","","","","","","A2","3","1","67258f550f46ea04e47afa8b","68.52","17.76","","3.51","","","15.61","","12.38","","","","","","","5.42","","13.84","","",""
"82","2025-05-13 17:29:08","6","en","1557198198","2025-05-13 17:27:58","2025-05-13 17:29:08","88.97.226.215","","A5","","","A5","AGA","","","","","","","","","A2","4","0","653bce556778e1739b2060a1","72.12","22.95","","3.54","","","24.49","","9.17","","","","","","","4.59","","7.38","","",""
"83","2025-05-13 17:33:35","6","en","1825703589","2025-05-13 17:28:49","2025-05-13 17:33:35","204.242.0.101","","A5","","","A7","AGA","","","","","","","","","A2","4","0","677679d8f8b195498c2f7a09","287.82","53.42","","31.32","","","68.67","","49.83","","","","","","","28.2","","56.38","","",""
"84","2025-05-13 17:33:33","6","en","1530274751","2025-05-13 17:29:01","2025-05-13 17:33:33","206.251.203.217","","A1","if(att != 'A5', 1,0)","","A6","AGR","","","","","","","","","A1","4","0","67e24fb0c92973e0d4cb7835","274.82","121.38","","11.84","","","46.4","","56.28","","","","","","","8.76","","30.16","","",""
"85","2025-05-13 17:32:26","6","en","871218975","2025-05-13 17:31:26","2025-05-13 17:32:25","108.249.28.196","","A5","","","A6","AGA","","","","","","","","","A2","5","1","672d4ccff9372d646bbd16ba","61.33","17.27","","3.05","","","13.43","","13.63","","","","","","","6.96","","6.99","","",""
"86","2025-05-13 17:33:34","6","en","1198061952","2025-05-13 17:31:55","2025-05-13 17:33:34","173.94.194.183","","A5","","","A3","","","AGB","","","","","","","A2","3","0","6644cf0a2e641bfd221ac4af","102.2","24.37","","2.92","","","28.91","","20.69","","","","","","","5.62","","19.69","","",""
"87","2025-05-13 17:36:26","6","en","1893218156","2025-05-13 17:32:34","2025-05-13 17:36:26","74.68.36.169","","A5","","","A6","AGA","","","","","","","","","A2","4","0","663a7af013938e6bbfb065d5","233.05","25.34","","29.69","","","146.76","","14","","","","","","","6.67","","10.59","","",""
"88","2025-05-13 17:34:40","6","en","1270608162","2025-05-13 17:33:13","2025-05-13 17:34:40","168.235.147.61","","A5","","","A3","","","AGR","","","","","","","A2","5","0","67e7fcf492ab891b1822f885","90.16","28.53","","3.73","","","32.12","","9.81","","","","","","","7.5","","8.47","","",""
"89","2025-05-13 17:37:24","6","en","86026713","2025-05-13 17:33:40","2025-05-13 17:37:24","82.11.130.41","","A5","","","A3","","","AGB","","","","","","","A2","3","0","6715013670bed7e4e955f109","226.23","92.15","","5.85","","","37.88","","52.01","","","","","","","24.84","","13.5","","",""
"90","2025-05-13 17:37:59","6","en","365812866","2025-05-13 17:34:43","2025-05-13 17:37:59","80.43.232.85","","A5","","","A7","AGA","","","","","","","","","A2","5","0","60e580ac2b617df6311e8462","198.57","70.45","","5.51","","","28.37","","17.59","","","","","","","57.39","","19.26","","",""
"91","2025-05-13 17:36:47","6","en","842657943","2025-05-13 17:34:51","2025-05-13 17:36:47","31.94.64.230","","A5","","","A1","","","AGR","","","","","","","A2","4","0","667dcf1309a59ce9ec44022b","117.68","30.3","","6.5","","","43.2","","12.47","","","","","","","7.92","","17.29","","",""
"92","2025-05-13 17:38:09","6","en","299829292","2025-05-13 17:34:51","2025-05-13 17:38:09","8.52.133.17","","A5","","","A2","","","AGR","","","","","","","A2","2","0","663388f6d4e404ce37e9b350","200.49","100.46","","6.35","","","66.07","","10.75","","","","","","","6.78","","10.08","","",""
"93","2025-05-13 17:39:54","6","en","683351766","2025-05-13 17:36:17","2025-05-13 17:39:54","185.123.153.0","","A5","","","A1","","","AGR","","","","","","","A2","5","1","67ceb35b4792192fccbb19c9","217.78","128.09","","15.08","","","27.91","","10.43","","","","","","","11.84","","24.43","","",""
